магазин,дата парсинга,наименование,цена
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Снежок ЛЮБОНИ 2,5%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный FRUTTIS Суперэкстра Вишневый пломбир/Груша, ваниль 8%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное топленое ЛЕНТА 3,2%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с персиком и манго с гранолой и изюмом 2,7–3,5%, без змж","83,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный САВУШКИН Топ шейк Пломбир 2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЧУДО Ягодное мороженое 1,9%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ЛОСЕВО 3,5%, без змж","95,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный GRAND COCKTAIL со вкусом ванильный пломбир 4%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное САРАТОВ ПТИЦА Самое С1,"152,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог СТОЛЫПИНСКАЯ ФЕРМА 5%, без змж","244,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Орех, латте 2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный БОЛЬШАЯ КРУЖКА Банан с мороженым 3%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Крем творожный взбитый BELA BOVINO Клубника 3%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт КОЛОМЕНСКИЙ Манго 5%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ЛЕНТА 10%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Маргарин ЧУДЕСНИЦА универсальный 55%, без змж","31,57"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Крем взбитый ультрапастеризованный HULALA на растительном масле 24%, с змж","379,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Коктейль молочный ультрапастеризованный SHOCK MILK Ваниль высокобелковый обезжиренный,"170,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой РАСТИШКА Бананово-клубничное мороженое 2,8%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый САВУШКИН ПРОДУКТ Савушкин Хуторок 9%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Продукт молокосодержащий ЛЕНТА Мягкая карамель 5% без змж,"139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ДОМИК В ДЕРЕВНЕ 6%, без змж","199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Молоко сгущенное безлактозное РОГАЧЕВЪ,"189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЧУДО Клубника, земляника 1,9%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток на растительной основе BONVIDA Barista Фундук 1,8%","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг GRAND DESERT Фисташка и сливочно-малиновый мусс 4,7%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир СЕЛО ЗЕЛЕНОЕ 2,5%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый МИНСКАЯ МАРКА 9%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток кисломолочный MOLVEST Protein max Латте макиато высокобелковый обезжиренный без лактозы,"159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЛЮБОНИ 4,2%, без змж","129,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное ИЗ ВОЛОГДЫ Крестьянское 72,5%, без змж","249,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный FRUTTIS Суперэкстра Абрикос, манго/Лесные ягоды 8%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ПРОСТОКВАШИНО 10%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ЛОСЕВО 3,5%, без змж","134,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный МОЛОЧНАЯ КУЛЬТУРА Пина Колада безлактозный высокобелковый обезжиренный, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный EXPONENTA High-Pro обезжиренный с высоким содержанием белка, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Продукт овсяный ферментированный питьевой VELLE Облепиха,"64,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные BONVIDA 20%, без змж","379,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ЛЕНТА 1,5%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Крем творожный взбитый BELA BOVINO Манго 3%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный HYPER со вкусом Шоколада, обогащенный белком безлактозный, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное BONVIDA Для капучино 3,2%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный FRUTTIS Вкусный перерыв Клубника, земляника с топпером 2,5%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана СТОЛЫПИНСКАЯ ФЕРМА 20%, без змж","244,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LACTICA Греческий Натуральный 4%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана МИНСКАЯ МАРКА 15%, без змж","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана СТОЛЫПИНСКАЯ ФЕРМА 20%, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный пастеризованный FRUTTIS Клубника с желейными шариками, с соком клубники 4,4%, без змж","97,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ЭКОНИВА Черника 5%, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное СЕВЕРНАЯ ДОЛИНА безлактозное 1,5%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт САВУШКИН Суперкид Ваниль, конфеты с топпером 2%, без змж","65,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ЛЮБОНИ 2,5%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток соевый NEMOLOKO Barista с бананом обогащенный витаминами и минеральными веществами,"114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ПАВЛОВСКАЯ КУРОЧКА CО,"132,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт растительно-сливочный КРЕСТЬЯНСКИЕ УЗОРЫ 72,5%, с змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БОЛЬШАЯ КРУЖКА 20%, без змж","53,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное АЛЕКСЕЕВСКОЕ цельное с сахаром 8,5%, без змж ГОСТ","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный пастеризованный ВЫБОР СЕМЬИ с соком персика и маракуйи 2,5%, без змж","26,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки стерилизованные ДОМИК В ДЕРЕВНЕ 10%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Спред VOIMIX 60% с змж,"209,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ВЫБОР СЕМЬИ 33%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное КОЗОЧКА С ОБЛАЧКА козье цельное 2,8–5,6%, без змж","58,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт растительный со сметаной 365 ДНЕЙ 20%, с змж","193,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Сливки сгущенные ЛЕНТА с сахаром 19% без змж,"179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный ЭКОНИВА Вишня, черешня 5%, без змж","62,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог Деревенский обезжиренный в марле, без змж","179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточный АКТУАЛЬ Сыворотка+Сок Персик и маракуйя с соком, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный HI с кокосом 1,8%","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Запеканка творожная А.РОСТАГРОКОМПЛЕКС с ванилью 16%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко стерилизованное детское АГУША 2,5% обогащенное витаминами и йодом, с 8 месяцев, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток сывороточный МАЖИТЭЛЬ Апельсин, клюква, мята, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ПРОСТОКВАШИНО 10%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана РОСТАГРОЭКСПОРТ 20%, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт кисломолочный ДОМИК В ДЕРЕВНЕ Снежок 2,5%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное BONVIDA 82,5% ГОСТ, без змж","949,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Пирожное бисквитное KINDER Paradiso с молочной начинкой,"94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Крем VEG'S Family со вкусом сметаны на основе кокосового масла,"86,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное КРАСНОЕ ЗНАМЯ СО столовое,"126,31"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток на растительной основе VELLE Специальный Овсяный Банановый,"144,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана РЕЗНОЙ ПАЛИСАД 20%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Клубника 2%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное ИСКРЕННЕ ВАШ 2,5%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ФРУАТЕ с манго и маракуйей 1,5%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт КОЛОМЕНСКИЙ Ежевика, облепиха 5%, без змж","97,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт с творогом 365 ДНЕЙ Масса домашняя с изюмом 23%, с змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Нектар охлажденный J7 Fresh Taste Манго, с мякотью","219,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное САРАТОВ ПТИЦА Самое СО,"164,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творожок РАСТИШКА Земляника-дыня со вкусом бананового мороженого 3,5%, без змж","94,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт овсяный VELLE Малина, ежевика","51,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ДОМИК В ДЕРЕВНЕ 1%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт молочный сгущенный SUPER Сливочный банан 1%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль БОЛЬШАЯ КРУЖКА Клубника с мороженым 3%, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана ЛОСЕВО 15%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СЕЛО ЗЕЛЕНОЕ Шоколад 20%, без змж","58,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Молоко сгущенное ГЛАВПРОДУКТ цельное с сахаром без змж,"109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный ВАУ МЯУ! Клубника со сливками 3,2%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный CAMPINA Нежный с соком абрикоса и манго 1,2%, без змж","19,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль высокобелковый кисломолочный ACTIVE ENERGY Тропический микс Апельсин, ананас с соком, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное АНФИСКИНО цельное отборное 3,2–6%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ИСКРЕННЕ ВАШ 3,2%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Кефир ЛОСЕВО 2,5%, без змж","87,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное СНЕЖОК для питания детей школьного и дошкольного возраста 3,2%, без змж","77,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный БОЛЬШАЯ КРУЖКА Фундук-мороженое 3%, без змж","34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Коктейль молочный ультрапастеризованный SHOCK MILK Кофе высокобелковый обезжиренный,"199,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный ACTIMUNO Kids с клубникой 1,5%","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой АКТИБИО Натуральный 1,8%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Яйцо куриное ПРАКСИС С1,"139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт овсяный NEMOLOKO Yo'gurt Груша, овсяные хлопья","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сладкосливочное БРЕСТ-ЛИТОВСК Сливочное несоленое 82,5%, без змж","1334,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный МОЛОЧНАЯ КУЛЬТУРА Ванильный пломбир безлактозный высокобелковый обезжиренный, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Коктейль молочный ультрапастеризованный SHOCK MILK Банан высокобелковый обезжиренный,"189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Коктейль молочный ультрапастеризованный SHOCK MILK Клубника высокобелковый обезжиренный,"189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый МИНСКАЯ МАРКА 5%, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный МОЛОЧНЫЙ МИР Зеленый чай матча 1,3%, без змж","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ТЕЛУШКА Клубника 1%, без змж","86,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ВЫБОР СЕМЬИ 5%, без змж","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Ванильный пломбир 2%, без змж","49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное BONVIDA цельное с сахаром 8,5% без змж","339,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ЧУДО Фисташка, пломбир 2%, без змж","48,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт ЛЕНТА FRESH Греческий Манго, маракуйя 3,4%, без змж","56,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой для детей РАСТИШКА Земляника 1,6%, без змж","27,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Спред растительно-жировой 365 ДНЕЙ 60%,"119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Биойогурт питьевой PARMALAT Comfort безлактозный Натуральный 1,7%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки стерилизованные СЕЛО ЗЕЛЕНОЕ 20%, без змж","229,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко пастеризованное АНФИСКИНО 3,2%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток ЛЕНТА LIFE Овсяный Банановый оригинальный,"124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток на соевой основе NEMOLOKO Professional Миндаль,"159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг НЕЖНЫЙ Шоколадный 3%, без змж","36,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный HI Банановый 3,2%","119,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт творожный EXPONENTA Манго, с бифидобактериями ВВ-12, обезжиренный, без змж","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Спред растительно-жировой ТМ КРЕМЛЕВСКОЕ, с змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток кисломолочный EXPONENTA HIGH-PRO Клубника, земляника, без лактозы, обезжиренное, без змж","230,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный EHRMANN Alpenland Вишня, нектарин, дикий апельсин 0,3%, без змж","18,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко сгущенное ГЛАВПРОДУКТ цельное с сахаром 8,5%, без змж","249,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко топленое ультрапастеризованное СЕЛО ЗЕЛЕНОЕ 3,2%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко VIOLA UHT 3,2%, без змж","169,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко топленое СЕВЕРНАЯ ДОЛИНА 3,2%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ВЫБОР СЕМЬИ 20%, без змж","189,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль кисломолочный ACTIVE ENERGY Гранат, малина с соком высокобелковый, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый ДЯДЯ ЛЕНЯ Фермерская лавка, деревенский 9%, без змж","159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Маргарин сливочный САРАТОВСКИЙ со сливочным вкусом и ароматом 60%,"49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Желе ЖЕЛЕЙКА со вкусом вишни, яблока, персика и пузырьками","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт овсяный NEMOLOKO Yo'gurt Манго, маракуйя","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки СЕВЕРНАЯ ДОЛИНА 10%, без змж","67,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ФРУАТЕ Манго и маракуйя 1%, без змж","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт кокосовый ЛЕНТА LIFE Лимонный тарт, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт кокосовый ЛЕНТА LIFE Яблочная шарлотка, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Ряженка ЛЕНТА 3,2%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованное EHRMANN Для кофе 10%, без змж, 10x10г","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт LACTICA Греческий с медом и грецким орехом 3% двухслойный, без змж","114,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток молочный COFFEE BREAK Latte 1,3%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ЛЕНТА 9%, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сливки ультрапастеризованные ВЫБОР СЕМЬИ 10%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сметана БУРЕНКИНО 20%, без змж","74,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный БОЛЬШАЯ КРУЖКА Фисташка-мороженое 3%, без змж","34,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный ZINUS VEGAN Фундуковый 1,8%","124,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный А.РОСТАГРОКОМПЛЕКС Суфле с ванилью в темном шоколаде 15%, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный YOMILK PROTEIN Кофе мокко 1,5%, без змж","98,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный ДМЗ с изюмом 23%, с змж","61,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток соево-кокосовый PLANTO Barista Классический обогащенный кальцием,"179,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт глазированный СВОЯ КОРОВА с варенкой в вафельном рожке 20%, с змж","38,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток овсяный NEMOLOKO Экстралайт Классический,"79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт мультизлаковый ЛЕНТА LIFE Соленая карамель, без змж","69,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток на соевой основе NEMOLOKO Professional Кокос,"159,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный ZINUS VEGAN Миндаль, ваниль 3,2%, для детского питания с 3-х лет","104,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный САВУШКИН Топ Молочный шоколад 2%, без змж","79,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный YOMILK PROTEIN Клубника 1,5%, без змж","73,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пирожное бисквитное KINDER Пингви Абрикос 23,3%, без змж","76,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырки творожные глазированные DELISSE с ванилью в молочном шоколаде 15%, без змж","154,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт НЕЖНЫЙ Легкий с соком клубники 0,1%, без змж","14,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный глазированный РОСТАГРОЭКСПОРТ Конфеты с молоком сгущенным вареным в молочном шоколаде 15%, без змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный ТОПТЫЖКА Шоколадный 3,2%, без змж","32,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт СВЕЖЕЕ ЗАВТРА Ваниль, безлактозный 2,8%, без змж","54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт творожный EPICA Flavorite с кокосом и миндалем 8,9%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ВЫБОР СЕМЬИ 3,2%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Напиток растительный ЛЕНТА LIFE Йогуртный облепиха,"49,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог САВУШКИН Хуторок 5%, без змж","90,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой для детей РАСТИШКА Пломбир с голубикой 1,6% обогащенный, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло топленое ПРЕДГОРЬЕ КАВКАЗА 99%, без змж","449,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт йогуртный EHRMANN Эрмигурт Экстра Сливочный с тропическими фруктами 7,5%, без змж","29,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Сырок творожный глазированный СЕЛО ЗЕЛЕНОЕ Ваниль 20%, без змж","57,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток растительный GREEN RANCH Barista Кокосовый 1,8%","139,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог рассыпчатый ЭКОМИЛК натуральный 9%, без змж","149,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Масло сливочное NATURA 82%, без змж","489,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Напиток овсяный ОВСЯША обогащенный витаминами и минеральными веществами 1,5%","84,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль молочный ультрапастеризованный HYPER со вкусом Кофе Латте, обогащенный белком безлактозный, без змж","174,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Десерт с творогом 365 ДНЕЙ Масса домашняя Картошка 23%, с змж","59,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Пудинг EHRMANN Эрмигурт Экстра Royal Chokolate 3,2%, без змж","39,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,Молоко сгущенное ЛЕНТА с сахаром,"54,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Творог ХОЗЯЙСТВО ВАСИЛЬЕВОЙ А.В. 9%, без змж","89,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Коктейль кисломолочный ACTIVE ENERGY Манго, маракуйя с соком высокобелковый, без змж","99,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Йогурт питьевой ЛОСЕВО с брусникой 2,5%, без змж","109,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Молоко ультрапастеризованное ИЗ ВОЛОГДЫ Вологодское 3,2% ГОСТ, без змж","28,99"
"Санкт-Петербург, улица Савушкина, 112А",16.05.2026,"Продукт растительный со сметаной 365 ДНЕЙ 20%, с змж","78,99"
